India/State/UT/CITY/U.A. Name,Age group,Total population - Persons,Total population - Males,Total population - Females,Illiterate - Males,Illiterate - Females,Literate without Educational Level - Non formal - Males,Literate without Educational Level - Non formal - Females,Literate without Educational Level - formal - Males,Literate without Educational Level - formal - Females,Educational Level - Primary - Males,Educational Level - Primary - Females,Educational Level - Middle - Males,Educational Level - Middle - Females,Educational Level - Matriculation/Secondary - Males,Educational Level - Matriculation/Secondary - Females,Educational Level - Higher Secondary/Intermediate/Pre-University/Senior Secondary - Males,Educational Level - Higher Secondary/Intermediate/Pre-University/Senior Secondary - Females,Educational Level - Non-Technical Diploma or certificate not equal to Degree - Males,Educational Level - Non-Technical Diploma or certificate not equal to Degree - Females,Educational Level - Technical Diploma or Certificate not equal to Degree - Males,Educational Level - Technical Diploma or Certificate not equal to Degree - Females,Educational Level - Graduate and above - Males,Educational Level - Graduate and above - Females
RAJGARH,All ages,992764,516152,476612,321946,416803,1640,800,68065,26226,63358,16350,27275,6593,8170,1660,15768,5120,40,10,390,20,9500,3030
RAJGARH,0-6,194241,100566,93675,100566,93675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAJGARH,7,24370,12220,12150,7700,9400,140,90,4380,2660,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAJGARH,8,36090,17960,18130,9920,13770,100,80,7940,4280,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAJGARH,9,15100,7530,7570,2840,4750,70,0,4400,2670,220,150,0,0,0,0,0,0,0,0,0,0,0,0
RAJGARH,10,37696,18800,18896,7860,13640,60,20,9510,4266,1370,970,0,0,0,0,0,0,0,0,0,0,0,0
RAJGARH,11,12900,6880,6020,1530,3210,10,10,3480,1770,1700,960,160,70,0,0,0,0,0,0,0,0,0,0
RAJGARH,12,32908,17778,15130,6240,10860,70,20,5400,2150,5568,1880,500,220,0,0,0,0,0,0,0,0,0,0
RAJGARH,13,15137,8120,7017,2290,4757,0,10,1530,780,3740,1140,560,330,0,0,0,0,0,0,0,0,0,0
RAJGARH,14,16770,9510,7260,2530,4950,30,20,1340,650,4290,1010,1220,550,90,50,10,30,0,0,0,0,0,0
RAJGARH,15-19,84195,44995,39200,17190,31130,80,60,4200,1530,10910,2500,8075,2200,2320,660,2100,1010,0,0,30,0,90,110
RAJGARH,20-24,85419,41902,43517,19573,36637,150,110,3070,1020,6499,2040,5270,800,1770,310,4230,1690,0,0,110,20,1230,890
RAJGARH,25-29,79591,39757,39834,20490,34871,110,20,3640,760,6327,1590,3000,813,1050,190,2940,890,0,0,50,0,2150,700
RAJGARH,30-34,69307,36440,32867,20810,29007,160,50,3110,650,5820,1210,2200,550,540,130,2040,720,10,10,60,0,1690,540
RAJGARH,35-39,57036,31136,25900,17764,23590,80,40,2870,510,4564,820,2030,320,840,130,1618,320,0,0,0,0,1370,170
RAJGARH,40-44,47447,26279,21168,16189,19638,120,10,2360,350,3480,500,1300,230,490,70,1330,210,10,0,20,0,980,160
RAJGARH,45-49,39645,20105,19540,13240,18230,100,10,1965,240,2430,540,690,220,270,50,740,130,10,0,40,0,620,120
RAJGARH,50-54,35897,19630,16267,14680,15497,60,10,1590,180,1760,420,540,60,200,10,310,30,0,0,40,0,450,60
RAJGARH,55-59,25047,12270,12777,8570,12437,40,20,1340,100,1130,110,470,60,200,10,150,30,0,0,30,0,340,10
RAJGARH,60-64,30142,15920,14222,12520,13812,60,30,1470,190,1230,120,300,50,160,0,60,10,10,0,0,0,110,10
RAJGARH,65-69,16854,8630,8224,6540,7974,20,10,940,110,740,80,260,40,40,0,40,0,0,0,0,0,50,10
RAJGARH,70-74,13758,7140,6618,5620,6358,30,20,760,110,410,60,160,20,60,10,40,10,0,0,10,0,50,30
RAJGARH,75-79,6134,3034,3100,2384,3000,10,0,300,80,160,20,110,0,30,0,10,0,0,0,0,0,30,0
RAJGARH,80+,10180,5410,4770,4020,4520,30,0,790,140,290,50,140,30,50,20,60,0,0,0,0,0,30,10
RAJGARH,Age not stated,6900,4140,2760,880,1090,110,160,1680,1030,720,180,290,30,60,20,90,40,0,0,0,0,310,210
